id	equip_req	ex_name	ex_type	muscle
0	Machine - Strength	Ab Crunch Machine	Strength	Abs
1	Body Only	Ab Draw Leg Slide	Strength	Abs
2	Body Only	Abdominal Pendulum	Strength	Abs
3	Body Only	Air Bike	Strength	Abs
4	Body Only	Alternate Heel Touchers	Strength	Abs
5	Body Only	Alternate Leg Bridge	Strength	Abs
6	Bench	Alternate Leg Reverse Hyper on Flat Bench	Strength	Abs
7	Body Only	Alternate Reach and Catch	Strength	Abs
8	Body Only	Alternating Arm Cobra	Strength	Abs
9	Bench, Bands	Band Weighted Sit Up	Strength	Abs
10	Barbell	Barbell Ab Rollout	Strength	Abs
11	Barbell	Barbell Ab Rollout on Knees	Strength	Abs
12	Barbell, Bench	Barbell Press Sit Up	Strength	Abs
13	Barbell, Bench	Barbell Seated Twist	Strength	Abs
14	Barbell	Barbell Side Bend	Strength	Abs
15	Bench	Bench  Twisting Crunch	Strength	Abs
16	Body Only	Bent Knee Hip Raise	Strength	Abs
17	Body Only	Bent Knee Hundreds	Strength	Abs
18	Body Only	Bent Knee Side Angle Pose	Stretching	Abs
19	Body Only	Boat Pose	Stretching	Abs
20	Body Only	Bow Pose	Stretching	Abs
21	Body Only	Butt-Ups	Strength	Abs
22	Body Only	C-Curve	Strength	Abs
23	Machine - Strength	Cable Crunch	Strength	Abs
24	Machine - Strength	Cable Judo Flip	Strength	Abs
25	Machine - Strength	Cable Kneeling Crunch with Alternating Oblique Twists	Strength	Abs
26	Machine - Strength	Cable Kneeling Pulldown	Strength	Abs
27	Machine - Strength	Cable One Arm High-Pulley Side Bends	Strength	Abs
28	Bench, Machine - Strength	Cable One Leg Lying Knee Raise	Strength	Abs
29	Machine - Strength	Cable Pallof Press with Rotation	Strength	Abs
30	Machine - Strength, Bench	Cable Reverse Crunch	Strength	Abs
31	Machine - Strength	Cable Reverse Wood Chops	Strength	Abs
32	Machine - Strength	Cable Rope Crunch	Strength	Abs
33	Machine - Strength, Exercise Ball	Cable Rotation on Exercise Ball	Strength	Abs
34	Machine - Strength, Exercise Ball	Cable Russian Twists	Strength	Abs
35	Machine - Strength, Bench	Cable Seated Crunch	Strength	Abs
36	Machine - Strength	Cable Side Bends	Strength	Abs
37	Machine - Strength	Cable Standing Crunch	Strength	Abs
38	Machine - Strength	Cable Standing Lift	Strength	Abs
39	Machine - Strength	Cable Standing Oblique Crunch	Strength	Abs
40	Machine - Strength, Exercise Ball	Cable Twist on Exercise Ball	Strength	Abs
41	Machine - Strength	Cable Twisting Crunch	Strength	Abs
42	Machine - Strength	Cable Wood Chops	Strength	Abs
43	Body Only	Camel Pose	Stretching	Abs
44	Body Only	Child's Pose	Stretching	Abs
45	Exercise Ball	Child's Pose on Exercise Ball	Stretching	Abs
46	Body Only	Cobra	Strength	Abs
47	Body Only	Crane Pose	Stretching	Abs
48	Body Only	Crescent Moon Pose	Stretching	Abs
49	Body Only	Cross Body Crunch	Strength	Abs
50	Body Only	Cross Legged Erector Spinae	Stretching	Abs
51	Body Only	Cross Legged Lying Side Stretch	Stretching	Abs
52	Body Only	Cross Legged Twist	Stretching	Abs
53	Body Only	Cross-Legged Forward Fold	Stretching	Abs
54	Body Only	Crunch with Hands Overhead	Strength	Abs
55	Body Only	Crunches	Strength	Abs
56	Bench	Crunches with Legs on a Bench	Strength	Abs
57	Exercise Ball	Crunches with Legs on an Exercise Ball	Strength	Abs
58	Bench	Decline Ab Reach	Strength	Abs
59	Bench	Decline Bench Alternate Knee Raise	Strength	Abs
60	Bench	Decline Bench Alternate Leg Raise	Strength	Abs
61	Bench, Machine - Strength	Decline Bench Cable Crunch	Strength	Abs
62	Bench, Machine - Strength	Decline Bench Cable Knee Raise	Strength	Abs
63	Bench	Decline Bench Knee Raise	Strength	Abs
64	Bench	Decline Bench Leg Raise	Strength	Abs
65	Bench	Decline Bench Leg Raise with Hip Thrust	Strength	Abs
66	Bench	Decline Bench Twisting Sit Up	Strength	Abs
67	Bench, Weight Plate	Decline Bench Weighted Twist	Strength	Abs
68	Machine - Strength	Decline Crunch	Strength	Abs
69	Bench	Decline Oblique Crunch	Strength	Abs
70	Bench	Decline Reverse Crunch	Strength	Abs
71	Body Only	Double Leg Hundreds	Strength	Abs
72	Body Only	Double Leg Stretch	Stretching	Abs
73	Body Only	Downward Facing Dog	Stretching	Abs
74	Body Only	Downward Facing Dog-Single Leg	Stretching	Abs
75	Body Only	Downward Facing Puppy Dog	Stretching	Abs
76	Bench	Dragon Flag	Strength	Abs
77	Dumbbell, Exercise Ball	Dumbbell Alternating Cobra Prone Exercise Ball	Strength	Abs
78	Dumbbell, Exercise Ball	Dumbbell Cobra Prone on Exercise Ball	Strength	Abs
79	Bench, Dumbbell	Dumbbell Seated Side Bend	Strength	Abs
80	Dumbbell	Dumbbell Side Bend	Strength	Abs
81	Exercise Ball, Dumbbell	Dumbbell Sit Up On Exercise Ball	Strength	Abs
82	Dumbbell	Dumbbell Standing One Leg Cobra	Strength	Abs
83	Bench, Dumbbell	Dumbbell Twisting Decline Sit Up	Strength	Abs
84	Dumbbell	Dumbbell Two Arm Side Bend	Strength	Abs
85	Dumbbell	Dumbbell Wood Chops	Strength	Abs
86	Body Only	Eagle Pose	Stretching	Abs
87	Exercise Ball	Exercise Ball Ab Curl	Strength	Abs
88	Exercise Ball	Exercise Ball Alternating One Arm Bridge	Strength	Abs
89	Exercise Ball	Exercise Ball Cross Legged Bridge	Strength	Abs
90	Exercise Ball	Exercise Ball Cross Legged Crunch	Strength	Abs
91	Exercise Ball	Exercise Ball Crunch	Strength	Abs
92	Exercise Ball	Exercise Ball Extended Arms Crunch	Strength	Abs
93	Exercise Ball	Exercise Ball Hand and Foot Exchange	Strength	Abs
94	Exercise Ball	Exercise Ball Hip Roll	Strength	Abs
95	Exercise Ball	Exercise Ball Hip Thrust Bridge	Strength	Abs
96	Exercise Ball	Exercise Ball Hundreds	Strength	Abs
97	Exercise Ball	Exercise Ball Incline Ab Crunch	Strength	Abs
98	Exercise Ball	Exercise Ball Jack Knife Push Up	Strength	Abs
99	Exercise Ball	Exercise Ball Knee Roll	Strength	Abs
100	Exercise Ball	Exercise Ball Leg Lifts	Strength	Abs
101	Exercise Ball	Exercise Ball Lying Side Stretch	Stretching	Abs
102	Exercise Ball	Exercise Ball Oblique Curl	Strength	Abs
103	Exercise Ball	Exercise Ball One Leg Crunch	Stretching	Abs
104	Exercise Ball	Exercise Ball One Legged Bridge	Strength	Abs
105	Exercise Ball	Exercise Ball Plank With Side Kick	Strength	Abs
106	Exercise Ball	Exercise Ball Pull In	Strength	Abs
107	Exercise Ball	Exercise Ball Reverse Crunch	Strength	Abs
108	Exercise Ball	Exercise Ball Reverse Supine Bridge	Strength	Abs
109	Exercise Ball	Exercise Ball Reverse Trunk Curl	Strength	Abs
110	Exercise Ball	Exercise Ball Roll Down	Strength	Abs
111	Exercise Ball	Exercise Ball Roman Twist	Strength	Abs
112	Exercise Ball, Bench	Exercise Ball Seated Head Tilt	Stretching	Abs
113	Exercise Ball	Exercise Ball Seated Pelvic Circles	Stretching	Abs
114	Exercise Ball	Exercise Ball Seated Side Bend	Stretching	Abs
115	Exercise Ball	Exercise Ball Side Crunch	Strength	Abs
116	Exercise Ball	Exercise Ball Side Crunch Against Wall	Strength	Abs
117	Exercise Ball	Exercise Ball Side Stretch	Stretching	Abs
118	Exercise Ball	Exercise Ball Straight Legged Crunch	Strength	Abs
119	Exercise Ball	Exercise Ball Traveling Lunge	Strength	Abs
120	Exercise Ball	Exercise Ball V Up	Strength	Abs
121	Exercise Ball, Weight Plate	Exercise Ball Weighted Sit Up	Strength	Abs
122	Exercise Ball	Exercise Ball Wood Chops	Strength	Abs
123	Body Only	Extended Arm Child Pose	Stretching	Abs
124	Body Only	Fish Pose	Stretching	Abs
125	Bench	Flat Bench Leg Pull In	Strength	Abs
126	Bench	Flat Bench Lying Leg Raise	Strength	Abs
127	Body Only	Frog Sit Ups	Strength	Abs
128	Exercise Ball	Half Moon Stretch on Exercise Ball	Stretching	Abs
129	Pullup Bar	Hanging Knee Raise	Strength	Abs
130	Pullup Bar	Hanging Leg Raise	Strength	Abs
131	Pullup Bar	Hanging Pike	Strength	Abs
132	Pullup Bar	Hanging Rotated Knee Raise	Strength	Abs
133	Body Only	Hare Pose	Stretching	Abs
134	Body Only	Hero Pose	Stretching	Abs
135	Bench	Hip Thrusts	Strength	Abs
136	Body Only	Hundreds	Strength	Abs
137	Body Only	Jackknife Sit up	Strength	Abs
138	Bench	Jackknife Sit-Up On Bench	Strength	Abs
139	Body Only	Janda Sit Up	Strength	Abs
140	Kettlebell	Kettlebell Advanced Windmill	Strength	Abs
141	Kettlebell	Kettlebell Bent Press	Strength	Abs
142	Kettlebell	Kettlebell Double Windmill	Strength	Abs
143	Kettlebell	Kettlebell Figure Eight	Strength	Abs
144	Kettlebell	Kettlebell Pass Between The Legs	Strength	Abs
145	Kettlebell	Kettlebell Windmill	Strength	Abs
146	Body Only	Knee Draw In	Strength	Abs
147	Machine - Strength	Knee Hip Raise On Parallel Bars	Strength	Abs
148	Body Only	Kneeling Side Bend	Stretching	Abs
149	Body Only	Leg Pull In	Strength	Abs
150	Body Only	Leg Raise	Strength	Abs
151	Body Only	Leg Slide	Strength	Abs
152	Body Only	Leg Slide with One Leg	Strength	Abs
153	Body Only	Locust Pose	Stretching	Abs
154	Body Only	Lower Abdominal Hip Roll	Strength	Abs
155	Body Only	Lying Alternate Floor Leg Raise	Strength	Abs
156	Body Only	Lying Alternate Knee Raise	Strength	Abs
157	Machine - Strength	Lying Cable Crunch	Strength	Abs
158	Machine - Strength	Lying Cable Knee Raise on Bench	Strength	Abs
159	Body Only	Lying Floor Knee Raise	Strength	Abs
160	Body Only	Lying Heel Touches	Strength	Abs
161	Bench	Lying Leg Raise with Hip Thrust on Bench	Strength	Abs
162	Body Only	Lying to Side Plank	Strength	Abs
163	Bench, Others	Medicine Ball Decline One Arm Overhead Throw	Strength	Abs
164	Bench, Others	Medicine Ball Decline Two Arm Overhead Throw	Strength	Abs
165	Others	Medicine Ball Full Twist	Strength	Abs
166	Exercise Ball, Others	Medicine Ball Sit Up on Exercise Ball	Strength	Abs
167	Others	Medicine Ball Supine One Arm Overhead Throw	Strength	Abs
168	Others	Medicine Ball Supine Two Arm Overhead Throw	Strength	Abs
169	Exercise Ball, Others	Medicine Ball Throw On Exercise Ball	Strength	Abs
170	Body Only	Mighty Pose	Stretching	Abs
171	Body Only	Oblique Crunches	Strength	Abs
172	Bench	Oblique Crunches with Bench	Strength	Abs
173	Machine - Strength	Oblique Raises on Parallel Bars	Strength	Abs
174	Bench	One Leg Reverse Hyper on Flat Bench	Strength	Abs
175	Body Only	Opening Out Twist	Strength	Abs
176	Body Only	Overhead Stretch	Stretching	Abs
177	Machine - Strength	Parallel Bar Leg Raise	Strength	Abs
178	Body Only	Passive Opening Out Twist	Stretching	Abs
179	Body Only	Plank	Strength	Abs
180	Exercise Ball	Plank on Exercise Ball	Strength	Abs
181	Bench	Plank with Feet on Bench	Strength	Abs
182	Body Only	Plank with Side Kick	Strength	Abs
183	Body Only	Reach and Catch	Strength	Abs
184	Body Only	Reverse Crunch	Strength	Abs
185	Body Only	Revolved Abdomen Pose Sequence	Stretching	Abs
186	Body Only	Roll Downs	Stretching	Abs
187	Exercise Ball	Roll Over on Exercise Ball	Stretching	Abs
188	Body Only	Rolling	Stretching	Abs
189	Machine - Strength	Roman Chair Twisting Knee Raise	Strength	Abs
190	Body Only	Sage Twist 1	Stretching	Abs
191	Body Only	Scalene	Stretching	Abs
192	Body Only	Scissor Kick	Strength	Abs
193	Body Only	Scorpion	Stretching	Abs
194	Bench	Seated Flat Bench Leg Pull In	Strength	Abs
195	Exercise Ball	Seated Hamstring Stretch on Exercise Ball	Stretching	Abs
196	Bench	Seated Leg Tucks	Strength	Abs
197	Body Only	Seated Overhead Stretch	Stretching	Abs
198	Body Only	Shell Stretch	Stretching	Abs
199	Body Only	Side Angle Pose With Rotation	Stretching	Abs
200	Body Only	Side Bridge	Strength	Abs
201	Body Only	Side Jackknife	Strength	Abs
202	Body Only	Sit Up	Strength	Abs
203	Body Only	Staff Pose	Stretching	Abs
204	Body Only	Standing Half Moon	Stretching	Abs
205	Body Only	Standing Lateral Stretch	Stretching	Abs
206	Body Only	Standing One Arm One Leg Opposite Reach	Stretching	Abs
207	Body Only	Stork Stance	Strength	Abs
208	Exercise Ball	Stork Stance with Exercise Ball	Strength	Abs
209	Body Only	Straight Leg Heel on Toe	Strength	Abs
210	Body Only	Sun Salutation	Stretching	Abs
211	Body Only	Superman Leg Stretch	Strength	Abs
212	Machine - Strength	Supine Ab Crunch Machine	Strength	Abs
213	Body Only	Supine Knee to Chest	Strength	Abs
214	Exercise Ball	Supine Straight Leg Hamstring Stretch on Exercise Ball	Stretching	Abs
215	Body Only	Table Pose	Stretching	Abs
216	Body Only	Toe Touchers	Stretching	Abs
217	Exercise Ball	Torso Rotation	Stretching	Abs
218	Body Only	Triangle Pose	Stretching	Abs
219	Body Only	Tuck Crunch	Strength	Abs
220	Body Only	Turtle Pose	Stretching	Abs
221	Body Only	Twisting Floor Crunch	Strength	Abs
222	Pullup Bar	Twisting Hanging Knee Raise	Strength	Abs
223	Machine - Strength	Twisting Lying Cable Crunch	Strength	Abs
224	Body Only	Two Leg Slide	Strength	Abs
225	Body Only	Two Legged Supine Knee to Chest	Strength	Abs
226	Body Only	Upward Facing Bow Pose	Stretching	Abs
227	Body Only	V Ups	Strength	Abs
228	Body Only	Warrior 2 Pose	Stretching	Abs
229	Body Only	Warrior 3 Pose	Stretching	Abs
230	Body Only	Warrior Pose	Stretching	Abs
231	Bench, Weight Plate	Weight Plate  Decline Crunch	Strength	Abs
232	Weight Plate, Bench	Weight Plate Around the World Decline Crunch	Strength	Abs
233	Weight Plate	Weight Plate Oblique Twists	Strength	Abs
234	Bench, Weight Plate	Weight Plate Russian Twist	Strength	Abs
235	Weight Plate	Weight Plate Side Bend	Strength	Abs
236	Exercise Ball, Weight Plate	Weight Plate Side Bend on Exercise Ball	Strength	Abs
237	Weight Plate	Weight Plate Twist	Strength	Abs
238	Weight Plate	Weighted Crunches	Strength	Abs
239	Pullup Bar, Dumbbell	Weighted Hanging Knee Raise	Strength	Abs
240	Bench, Weight Plate	Weighted Side Touches	Strength	Abs
241	Body Only	Wide Leg Stretch	Stretching	Abs
242	Pullup Bar	Windshield Wipers	Strength	Abs
243	Body Only	Z Pose	Stretching	Abs
244	Machine - Strength	Back Extension Machine	Strength	Back
245	Exercise Ball	Back Extension on Exercise Ball	Stretching	Back
246	Exercise Ball	Back Relaxation	Stretching	Back
247	Barbell, Bench	Barbell Bent Arm Pullover	Strength	Back
248	Barbell	Barbell Bent One Arm Row	Strength	Back
249	Barbell	Barbell Bent Over Row	Strength	Back
250	Barbell	Barbell Bent Over Two Arm Row	Strength	Back
251	Barbell	Barbell Deadlift	Strength	Back
252	Barbell	Barbell Good Morning	Strength	Back
253	Barbell, Machine - Strength	Barbell High Inverted Row	Strength	Back
254	Bench, Barbell	Barbell Incline Bench Pull	Strength	Back
255	Barbell, Bench	Barbell Incline Bench Row	Strength	Back
256	Barbell, Bench	Barbell Lying Cambered Row	Strength	Back
257	Barbell	Barbell One Arm Bent Over Row	Strength	Back
258	Barbell, Machine - Strength	Barbell Rack Pulls	Strength	Back
259	Barbell	Barbell Reverse Grip Bent Over Row	Strength	Back
260	Barbell, Bench	Barbell Reverse Grip Incline Bench Row	Strength	Back
261	Barbell	Barbell Romanian Deadlift	Strength	Back
262	Barbell, Bench	Barbell Seated Good Mornings	Powerlifting	Back
263	Machine - Strength, Bench	Cable Back Incline Pushdown	Strength	Back
264	Machine - Strength	Cable Deadlift	Strength	Back
265	Machine - Strength, Weight Plate	Cable Elevated Rows	Strength	Back
266	Machine - Strength	Cable Full Range of Motion Straight Crossover	Strength	Back
267	Bench, Machine - Strength	Cable Incline Bench Row	Strength	Back
268	Machine - Strength, Bench	Cable One Arm Lat Pulldown	Strength	Back
269	Bench, Machine - Strength	Cable One Arm Seated Row	Strength	Back
270	Machine - Strength	Cable Palm Rotational Row	Strength	Back
271	Machine - Strength	Cable Rope Crossover Seated Row	Strength	Back
272	Machine - Strength, Weight Plate	Cable Rope Elevated Seated Row	Strength	Back
273	Bench, Machine - Strength	Cable Rope Extension Incline Bench Row	Strength	Back
274	Machine - Strength	Cable Rope Lat Pull Down	Strength	Back
275	Machine - Strength, Pullup Bar	Cable Rope Pull Up	Strength	Back
276	Bench, Machine - Strength	Cable Rope Seated Row	Strength	Back
277	Machine - Strength	Cable Seated Row	Strength	Back
278	Machine - Strength	Cable Standing One Arm Row	Strength	Back
279	Machine - Strength	Cable Standing Row	Strength	Back
280	Machine - Strength	Cable Straight Arm Push Down	Strength	Back
281	Machine - Strength, Bench	Cable Underhand Pull Down	Strength	Back
282	Machine - Strength	Cable Upper Row	Strength	Back
283	Machine - Strength	Cable V Bar Pull Down	Strength	Back
284	Machine - Strength	Cable V Bar Standing Row	Strength	Back
285	Body Only	Cat Stretch	Stretching	Back
286	Bench	Chair Lower Back Stretch	Stretching	Back
287	Pullup Bar	Chin Up	Strength	Back
288	Pullup Bar	Climbers Chin Up	Strength	Back
289	Pullup Bar	Close Grip Chin Up	Strength	Back
290	Machine - Strength	Close Grip Front Lat Pulldown	Strength	Back
291	Machine - Strength	Close Grip Reverse Lat Pull Down	Strength	Back
292	Machine - Strength	Close Grip Vertical Row	Strength	Back
293	Body Only	Crossover Reverse Lunge	Stretching	Back
294	Body Only	Dancer's Stretch	Stretching	Back
295	Dumbbell	Dumbbell Bent Over Row	Strength	Back
296	Dumbbell	Dumbbell Deadlift	Strength	Back
297	Bench, Dumbbell	Dumbbell Incline Bench Two Arm Row	Strength	Back
298	Dumbbell, Bench	Dumbbell Lying Rear Delt Row	Strength	Back
299	Dumbbell, Bench	Dumbbell Middle Back Shrug	Strength	Back
300	Dumbbell, Bench	Dumbbell One Arm Lying Rear Delt Row	Strength	Back
301	Dumbbell, Exercise Ball	Dumbbell One Arm Pullover	Strength	Back
302	Dumbbell, Bench	Dumbbell One Arm Row	Strength	Back
303	Dumbbell	Dumbbell Palm Rotational Row	Strength	Back
304	Dumbbell	Dumbbell Palms In Bent Over Row	Strength	Back
305	Dumbbell	Dumbbell Palms In Bent Over Row	Strength	Back
306	Dumbbell, Exercise Ball	Dumbbell Prone Alternating Rear Delt Row on Exercise Ball	Strength	Back
307	Dumbbell, Exercise Ball	Dumbbell Prone One Arm Rear Delt Row on Exercise Ball	Strength	Back
308	Dumbbell, Exercise Ball	Dumbbell Prone Rear Delt Row on Exercise Ball	Strength	Back
309	Bench, Dumbbell	Dumbbell Reverse Grip Incline Bench One Arm Row	Strength	Back
310	Dumbbell, Bench	Dumbbell Reverse Grip Incline Bench Two Arm Row	Strength	Back
311	Body Only	Dynamic Back Stretch	Stretching	Back
312	Exercise Ball	Exercise Ball Alternating Arm Ups	Strength	Back
313	Exercise Ball	Exercise Ball Back Extension With Arms Extended	Stretching	Back
314	Exercise Ball	Exercise Ball Back Extension With Hands Behind Head	Stretching	Back
315	Exercise Ball	Exercise Ball Back Extension With Knees Off Ground	Stretching	Back
316	Exercise Ball	Exercise Ball Back Extension With Rotation	Stretching	Back
317	Exercise Ball	Exercise Ball Back Stretch	Stretching	Back
318	Exercise Ball	Exercise Ball Back Wall Circles	Stretching	Back
319	Exercise Ball	Exercise Ball Hug	Stretching	Back
320	Exercise Ball	Exercise Ball Lat Stretch	Stretching	Back
321	Exercise Ball	Exercise Ball Lower Back Prone Stretch	Stretching	Back
322	Exercise Ball	Exercise Ball Lower Back Stretch	Stretching	Back
323	Exercise Ball	Exercise Ball Lying Side Lat Stretch	Stretching	Back
324	Exercise Ball	Exercise Ball One Leg Prone Lower Body Rotation	Stretching	Back
325	Exercise Ball	Exercise Ball Prone Leg Raise	Strength	Back
326	Exercise Ball	Exercise Ball Pyramid	Stretching	Back
327	EZ Curl Bar	EZ Bar Reverse Grip Bent Over Row	Strength	Back
328	Machine - Strength	Full Range Of Motion Lat Pulldown	Strength	Back
329	Pullup Bar	Gironda Sternum Chin Ups	Strength	Back
330	Pullup Bar	Gorilla Chin Up with Crunch	Strength	Back
331	Pullup Bar	Hammer Grip Pull Up	Strength	Back
332	Body Only	Hug Knees to Chest	Stretching	Back
333	Machine - Strength	Hyperextensions - Back Extensions	Stretching	Back
334	Body Only	Hyperextensions With No Bench	Strength	Back
335	Machine - Strength	Inverted Row	Strength	Back
336	Machine - Strength	Iso Lateral Wide Pulldown	Strength	Back
337	Kettlebell	Kettlebell Alternating Renegade Row	Strength	Back
338	Kettlebell	Kettlebell Alternating Row	Strength	Back
339	Kettlebell	Kettlebell One Arm Row	Strength	Back
340	Kettlebell	Kettlebell Two Arm Row	Strength	Back
341	Body Only	Kneeling Lat Stretch	Stretching	Back
342	Machine - Strength	Leverage Machine High Row	Strength	Back
343	Machine - Strength	Leverage Machine Iso Row	Strength	Back
344	Body Only	Lower Back Curl	Stretching	Back
345	Machine - Strength	Machine Assisted Chin Up	Strength	Back
346	Machine - Strength	Machine Assisted Hammer Grip Pull Up	Strength	Back
347	Machine - Strength	Machine Assisted Pull Up	Strength	Back
348	Machine - Strength	Machine Lat Pull Down	Strength	Back
349	Machine - Strength	Machine T-Bar Reverse Grip Row	Strength	Back
350	Others	Medicine Ball Catch and Overhead Throw	Strength	Back
351	Others	Medicine Ball Overhead Slam	Strength	Back
352	Body Only	Middle Back Stretch	Stretching	Back
353	Pullup Bar	Mixed Grip Chin Up	Strength	Back
354	Machine - Strength	Narrow Grip Lat Pull Down	Strength	Back
355	Body Only	One Arm Against Wall	Stretching	Back
356	Pullup Bar	One Arm Chin Up	Strength	Back
357	Machine - Strength	One Arm Iso Lateral High Row	Strength	Back
358	Machine - Strength	One Arm Iso Lateral Wide Pulldown	Strength	Back
359	Pullup Bar	One Handed Hang	Stretching	Back
360	Body Only	Pelvic Tilt Into Bridge	Stretching	Back
361	Pullup Bar	Pull Ups	Strength	Back
362	Machine - Strength	Reverse Grip Lat Pull Down	Strength	Back
363	Machine - Strength	Reverse Grip Machine Lat Pull Down	Strength	Back
364	Machine - Strength	Reverse Grip Vertical Row	Strength	Back
365	Machine - Strength	Reverse Lying T Bar Machine Row	Strength	Back
366	Pullup Bar	Rocky Pull Ups and Pulldowns	Strength	Back
367	Machine - Strength	Seated Machine Row	Strength	Back
368	Body Only	Side-Lying Floor Stretch	Stretching	Back
369	Machine - Strength	Smith Machine Bent Over Row	Strength	Back
370	Machine - Strength	Smith Machine Deadlift	Strength	Back
371	Machine - Strength	Smith Machine Good Morning	Strength	Back
372	Machine - Strength	Smith Machine One Arm Row	Strength	Back
373	Machine - Strength	Smith Machine Reverse Grip Bent Over Row	Strength	Back
374	Body Only	Sphinx	Stretching	Back
375	Exercise Ball	Spinal Stretch	Stretching	Back
376	Body Only	Spine Stretch	Stretching	Back
377	Body Only	Spine Twist	Strength	Back
378	Body Only	Standing Pelvic Tilt	Stretching	Back
379	Body Only	Superman	Stretching	Back
380	Machine - Strength	T Bar Lying Row	Strength	Back
381	Barbell, Machine - Strength	T Bar Row	Strength	Back
382	Machine - Strength	Unilateral Row	Strength	Back
383	Body Only	Upper Back Stretch	Stretching	Back
384	Body Only	Upward Facing Dog	Stretching	Back
385	Pullup Bar, Machine - Strength	V Bar Pull Up	Strength	Back
386	Exercise Ball, Weight Plate	Weight Plate Hyperextensions on Exercise Ball	Strength	Back
387	Pullup Bar, Weight Plate	Weighted Pull Ups	Strength	Back
388	Machine - Strength	Wide Grip Lat Pulldown	Strength	Back
389	Machine - Strength	Wide Grip Pulldown Behind The Neck	Strength	Back
390	Pullup Bar	Wide Grip Rear Pull-Up	Strength	Back
391	Bands	Band Speed Alternating Biceps Curl 	Strength	Biceps
392	Barbell	Barbell Bicep Curl with Deadlift	Strength	Biceps
393	Barbell, EZ Curl Bar	Barbell Bicep Drag Curl	Strength	Biceps
394	Machine - Strength, Barbell	Barbell Body Row	Strength	Biceps
395	EZ Curl Bar, Machine - Strength	Barbell Close Grip Preacher Curl	Strength	Biceps
396	Barbell, Bench	Barbell Close Grip Seated Concentration  Curl	Strength	Biceps
397	Barbell	Barbell Close Grip Standing Curl	Strength	Biceps
398	Barbell, Bench	Barbell Concentration Curl	Strength	Biceps
399	Barbell	Barbell Curl	Strength	Biceps
400	Barbell, Bench	Barbell Curls Lying Against An Incline	Strength	Biceps
401	Barbell	Barbell Drag Curl	Strength	Biceps
402	Barbell, Bench	Barbell Lying High Bench Biceps Curl	Strength	Biceps
403	Barbell	Barbell One Arm Bicep Curl	Strength	Biceps
404	Barbell, Machine - Strength	Barbell Preacher Curl	Strength	Biceps
405	EZ Curl Bar, Machine - Strength	Barbell Reverse Preacher Curl	Strength	Biceps
406	Bench, EZ Curl Bar	Barbell Spider Curl	Strength	Biceps
407	Barbell	Barbell Standing Wide Grip Biceps Curl	Strength	Biceps
408	Machine - Strength	Bicep Curl Machine	Strength	Biceps
409	Machine - Strength	Cable Close Grip Curl	Strength	Biceps
410	Machine - Strength, Bench	Cable Concentration Curl	Strength	Biceps
411	Machine - Strength	Cable Drag Curl	Strength	Biceps
412	Machine - Strength, Bench	Cable High Curl	Strength	Biceps
413	Machine - Strength, Bench	Cable Lying Bicep Curl	Strength	Biceps
414	Machine - Strength, Bench	Cable Lying Close Grip Biceps Curl	Strength	Biceps
415	Machine - Strength	Cable One Arm High Curl	Strength	Biceps
416	Bench, Machine - Strength	Cable One Arm Preacher Curl	Strength	Biceps
417	Bench, Machine - Strength	Cable One Arm Reverse Preacher Curl	Strength	Biceps
418	Machine - Strength	Cable Overhead Curl	Strength	Biceps
419	Exercise Ball, Machine - Strength	Cable Overhead Curl on Exercise Ball	Strength	Biceps
420	Machine - Strength, Bench	Cable Preacher Curl	Strength	Biceps
421	Machine - Strength, Bench	Cable Pulldown Bicep Curl	Strength	Biceps
422	Machine - Strength	Cable Reverse Curl	Strength	Biceps
423	Machine - Strength	Cable Reverse Grip Curls	Strength	Biceps
424	Bench, Machine - Strength	Cable Reverse Preacher Curl	Strength	Biceps
425	Machine - Strength	Cable Rope Hammer Curls	Strength	Biceps
426	Bench, Machine - Strength	Cable Rope Hammer Preacher Curl	Strength	Biceps
427	Bench, Machine - Strength	Cable Rope One Arm Hammer Preacher Curl	Strength	Biceps
428	Bench, Machine - Strength	Cable Seated Curl	Strength	Biceps
429	Machine - Strength, Bench	Cable Seated One Arm Concentration Curl	Strength	Biceps
430	Machine - Strength, Bench	Cable Seated Overhead Curl	Strength	Biceps
431	Machine - Strength	Cable Squatting Curl	Strength	Biceps
432	Machine - Strength	Cable Standing Biceps Curl	Strength	Biceps
433	Machine - Strength	Cable Standing Curl	Strength	Biceps
434	Machine - Strength	Cable Standing One Arm Bicep Curl	Strength	Biceps
435	Machine - Strength	Cable Standing Reverse Curl	Strength	Biceps
436	Bench, Machine - Strength	Cable Two Arm Curl on Incline Bench	Strength	Biceps
437	Dumbbell	Dumbbell Alternate Bicep Curl	Strength	Biceps
438	Dumbbell	Dumbbell Alternate Hammer Curl	Strength	Biceps
439	Machine - Strength, Dumbbell	Dumbbell Alternate Hammer Preacher Curl	Strength	Biceps
440	Dumbbell, Bench	Dumbbell Alternate Incline Curl	Strength	Biceps
441	Bench, Dumbbell	Dumbbell Alternate Incline Hammer Curl	Strength	Biceps
442	Machine - Strength, Dumbbell	Dumbbell Alternate Preacher Curl	Strength	Biceps
443	Bench, Dumbbell	Dumbbell Alternate Seated Curl	Strength	Biceps
444	Bench, Dumbbell	Dumbbell Alternate Seated Hammer Curl	Strength	Biceps
